티커,종가,시가총액,거래량,거래대금,상장주식수
005930,82200,490716125610000,25419886,2113624966100,5969782550
000660,136500,99372322822500,7961516,1092811602500,728002365
051910,916000,64662586188000,450568,412915401807,70592343
035420,386500,63487802167500,1289395,507096566332,164263395
005935,74100,60975904470000,2443854,183241642000,822886700
207940,780000,51608700000000,77046,60325473000,66165000
005380,241500,51600867160500,1157808,281745896000,213668187
006400,739000,50816987670000,504042,376389665192,68764530
035720,490500,43492471663500,640993,318698772000,88669667
068270,309500,41791082744500,725100,228409619500,135027731
000270,80000,32429067760000,3907177,315618616300,405363347
012330,323000,30702666162000,536234,174378169000,95054694
066570,166000,27165537124000,2511075,424795166000,163647814
096770,284000,26260220176000,1093541,314716207500,92465564
051900,1561000,24380005517000,41640,65595034000,15618197
005490,268000,23366071780000,423838,113366738745,87186835
028260,124000,23173998044000,765235,96171285000,186887081
036570,931000,20439194482000,216700,205366216650,21954022
091990,132300,20105782086600,953443,128568946500,151971142
017670,248000,20024936328000,332205,83101352000,80745711
034730,279000,19630522863000,542143,153450618500,70360297
105560,43100,17921321352000,2207281,95807255950,415807920
055550,32500,16789485505000,1303415,42591240950,516599554
003550,95500,16479206010500,672404,65579133100,172557131
032830,79000,15800000000000,1218533,95446889300,200000000
018260,200000,15475560000000,164883,33357959500,77377800
015760,23850,15310843236450,5745162,138907875100,641964077
009150,197000,14714658112000,570707,113504110400,74693696
090430,237000,13854662130000,238388,56583194000,58458490
003670,167500,12975089350000,1255414,221545734000,77463220
326030,148000,11590361000000,107667,16033549000,78313250
086790,36350,10913798953700,1318874,48235485450,300242062
251270,127000,10907585373000,309374,39709820500,85886499
033780,78800,10818648763600,643659,50895892500,137292497
011170,302000,10351176538000,425232,130327402500,34275419
010950,86600,9749669787200,998702,85576184200,112582792
018880,16850,8994530000000,915842,15569896700,533800000
034220,24850,8891720145000,2877212,71340023950,357815700
000810,175000,8290596475000,474929,83635890247,47374837
352820,227000,8086593520000,225597,52024657500,35623760
010130,428500,8085795000000,142559,60687232000,18870000
086280,212000,7950000000000,343594,73452547500,37500000
009830,48600,7769414554200,1916427,94910157600,159864497
009540,104000,7360404064000,272316,28658966500,70773116
011780,232000,7068504312000,680371,161980760500,30467691
316140,9590,6926547079970,1681477,16193208270,722267683
030200,26000,6788907008000,2010061,52822060350,261111808
097950,435000,6548570910000,57790,25059740000,15054186
161390,52400,6491053615600,663337,35181851900,123875069
006800,9780,6311194470240,2421999,23998149810,645316408
024110,8420,6219553911200,1828356,15503130150,738664360
068760,158500,5675985964500,237744,38305998000,35810637
011200,17300,5674598621300,19417433,332483082500,328011481
032640,12250,5348489172250,2498443,30854236450,436611361
004020,39950,5331159110750,713802,28718542700,133445785
011070,225000,5325099075000,378942,86729665500,23667107
002790,64100,5285569338000,194147,12354265900,82458180
035250,24600,5262936300000,790419,19577488700,213940500
071050,93300,5199235053600,447241,42339071300,55725992
271560,131000,5179233292000,112676,14991751500,39536132
011790,132000,4998615336000,405858,54262259500,37868298
021240,67300,4966714358700,282250,19117651000,73799619
139480,178000,4961895782000,297917,53220585000,27875819
003490,28200,4912713906600,1960575,55827915100,174209713
000720,41400,4610128671000,584560,24392131500,111355765
008930,66300,4462295709300,145025,9784462700,67304611
000100,63600,4450280192400,272766,17499918500,69972959
019170,83200,4408351168000,3901049,333204393100,52984990
006280,374000,4370765212000,169630,64857515500,11686538
285130,361500,4244514654000,203894,75021353000,11741396
026960,42250,4212325000000,383844,16441192250,99700000
034020,11200,4195937256000,1903429,21509332550,374637255
088980,11250,4187165456250,822115,9224371000,372192485
263750,314800,4152164780000,53149,16853407000,13189850
128940,341000,4118694162000,45083,15512440000,12078282
267250,260500,4115539728500,33773,8852454500,15798617
010140,6530,4113900000000,2700854,17725478430,630000000
096530,153900,4037415678000,962358,153593388200,26234020
293490,53200,3957590134400,914380,49636897800,74390792
005387,108000,3940428708000,95770,10448210000,36485451
000120,171500,3912316996000,53738,9283904000,22812344
180640,58600,3882991524400,730360,46032074900,66262654
078930,41000,3809530498000,922640,37428551450,92915378
196170,135000,3791191500000,162121,22481905800,28082900
336260,56800,3720043636800,954573,55089937600,65493726
028300,69900,3711883762800,2502335,177069407600,53102772
247540,176400,3710603282400,164253,29195101500,21035166
020150,80000,3688866800000,323899,26014586100,46110835
039490,141500,3661931421000,149344,21322708500,25879374
029780,31600,3661140955600,103584,3290783450,115858891
047810,37200,3626073980400,1366706,51504291900,97475107
004990,33600,3524950363200,110421,3735114750,104909237
003410,6930,3491746993350,2452413,17191197220,503859595
241560,34450,3453583768700,393061,13765871750,100249166
023530,121500,3437083732500,171707,20723065000,28288755
016360,38050,3397865000000,425380,16258091550,89300000
036490,321000,3385803033000,34676,11260399600,10547673
051915,437000,3360005600000,27615,12136753500,7688800
008770,83000,3257594043000,558169,46480448100,39248121
204320,68700,3225954144000,580394,40390904300,46957120
005940,11350,3193990867450,808480,9240051750,281408887
006360,37700,3186209241800,789715,30073615750,84514834
012510,104500,3154878094500,141847,14975528500,30190221
035760,141800,3109554037200,92250,13117105500,21929154
012750,81400,3093133089200,36994,3029695600,37999178
028670,5720,3057737608640,39269272,224505979990,534569512
036460,32950,3041713350000,284343,9443690950,92313000
088350,3470,3013799100000,42329696,145880434790,868530000
253450,96800,2904420596000,179356,17537044700,30004345
032500,72500,2887014017500,375143,27586127400,39820883
282330,167000,2886412302000,21445,3555631000,17283906
307950,137000,2877000000000,342851,47579522000,21000000
010060,120000,2861924520000,343051,41810533500,23849371
005830,40400,2860320000000,1071937,43233658099,70800000
047050,22850,2819122154650,3931317,93127186100,123375149
014680,245500,2782790372500,95483,23688589500,11335195
001040,95300,2780567909400,130219,12563583700,29176998
042660,25900,2778828327100,172944,4533712300,107290669
007070,35300,2718100000000,206330,7301740750,77000000
