티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,5550,5460,-90,-1.62,102205,555933390
006840,AK홀딩스,27550,27050,-500,-1.81,24515,667128450
027410,BGF,5770,5750,-20,-0.35,106768,616478240
282330,BGF리테일,168500,162500,-6000,-3.56,30334,5000023000
138930,BNK금융지주,9130,8910,-220,-2.41,1578442,14213693310
001460,BYC,441000,441000,0,0.0,165,72883500
001465,BYC우,179500,178000,-1500,-0.84,33,5817000
001040,CJ,98900,96800,-2100,-2.12,75007,7355531900
079160,CJCGV,32900,32200,-700,-2.13,608671,19702339250
00104K,CJ4우전환,82700,81900,-800,-0.97,3363,275595500
000120,CJ대한통운,148000,145500,-2500,-1.69,26432,3876350000
011150,CJ씨푸드,3960,3925,-35,-0.88,100688,398904085
011155,CJ씨푸드1우,39200,38500,-700,-1.79,119,4614650
001045,CJ우,61500,61300,-200,-0.33,407,24909400
097950,CJ제일제당,393000,386500,-6500,-1.65,61206,23796516500
097955,CJ제일제당우,196000,195500,-500,-0.26,3472,678548000
000590,CS홀딩스,65600,66000,400,0.61,4437,292939100
012030,DB,1035,1015,-20,-1.93,581904,596930140
016610,DB금융투자,7280,7130,-150,-2.06,109620,785684910
005830,DB손해보험,65300,60800,-4500,-6.89,282584,17496552700
000990,DB하이텍,57000,57500,500,0.88,602071,34738541500
000995,DB하이텍1우,105000,104500,-500,-0.48,228,23833000
139130,DGB금융지주,10750,10550,-200,-1.86,448582,4801546050
001530,DI동일,294000,291500,-2500,-0.85,13157,3866926500
000210,DL,68100,66700,-1400,-2.06,130293,8733793100
001880,DL건설,29850,29950,100,0.34,13754,411145100
000215,DL우,41500,40700,-800,-1.93,3533,145375500
375500,DL이앤씨,135000,132500,-2500,-1.85,100393,13443155500
37550K,DL이앤씨우,77300,77100,-200,-0.26,2917,225574800
004840,DRB동일,5860,5680,-180,-3.07,24441,139919760
155660,DSR,7300,7100,-200,-2.74,154152,1101813040
069730,DSR제강,7130,6780,-350,-4.91,283659,1943955420
017940,E1,54200,53200,-1000,-1.85,18835,1010940700
365550,ESR켄달스퀘어리츠,6740,6800,60,0.89,453533,3052302340
383220,FF,861000,873000,12000,1.39,27279,23689836000
007700,FF홀딩스,40800,39350,-1450,-3.55,159884,6404850500
114090,GKL,17000,16550,-450,-2.65,301398,5024745800
078930,GS,43800,42700,-1100,-2.51,283360,12187753700
006360,GS건설,41400,41250,-150,-0.36,896030,37458349400
001250,GS글로벌,2700,2630,-70,-2.59,673379,1787975320
007070,GS리테일,32950,32350,-600,-1.82,276178,8983224250
078935,GS우,37250,36850,-400,-1.07,6478,239949400
012630,HDC,10850,10700,-150,-1.38,148317,1600094100
039570,HDC아이콘트롤스,12200,11750,-450,-3.69,31007,371294350
089470,HDC현대EP,6250,6030,-220,-3.52,370120,2278471200
294870,HDC현대산업개발,26500,25550,-950,-3.58,608954,15748331300
011200,HMM,26900,26650,-250,-0.93,6312791,169416337950
082740,HSD엔진,8690,9130,440,5.06,4173749,38079648650
003560,IHQ,1820,1825,5,0.27,3722401,6712982090
175330,JB금융지주,8970,8960,-10,-0.11,586803,5270198960
234080,JW생명과학,16400,16450,50,0.3,18893,306542250
001060,JW중외제약,23900,23850,-50,-0.21,30946,734146700
001067,JW중외제약2우B,56500,56300,-200,-0.35,28,1581600
001065,JW중외제약우,32950,32900,-50,-0.15,140,4590400
096760,JW홀딩스,3885,3885,0,0.0,27507,107121305
105560,KB금융,58600,57800,-800,-1.37,2055977,120283161978
002380,KCC,342500,337000,-5500,-1.61,42098,14238037500
344820,KCC글라스,60600,61200,600,0.99,104834,6405201200
009070,KCTC,6670,6490,-180,-2.7,228404,1499821830
009440,KC그린홀딩스,5210,5190,-20,-0.38,39998,207705270
119650,KC코트렐,7240,7180,-60,-0.83,89273,644860270
092220,KEC,3335,3440,105,3.15,100903733,366631236075
016380,KG동부제철,11700,11450,-250,-2.14,294306,3381894050
016385,KG동부제철우,101000,99600,-1400,-1.39,390,38851700
001390,KG케미칼,31900,32400,500,1.57,218771,7228339550
033180,KH필룩스,3045,3030,-15,-0.49,576741,1759897560
001940,KISCO홀딩스,18700,18400,-300,-1.6,30421,563018300
025000,KPX케미칼,58600,58300,-300,-0.51,1584,92646900
092230,KPX홀딩스,66200,66400,200,0.3,1137,75348700
000040,KR모터스,1010,1035,25,2.48,1518400,1610040700
044450,KSS해운,11200,12000,800,7.14,602314,7167993650
030200,KT,31300,30700,-600,-1.92,975550,30110787900
033780,KTG,82000,81500,-500,-0.61,376612,30816422300
030210,KTB투자증권,6570,6500,-70,-1.07,167203,1096189270
058850,KTcs,2710,2690,-20,-0.74,71636,193512380
058860,KTis,2590,2555,-35,-1.35,64827,167217860
093050,LF,19100,18600,-500,-2.62,57723,1085745850
003550,LG,94700,91500,-3200,-3.38,263101,24301218600
034220,LG디스플레이,18500,19750,1250,6.76,8456460,165630287550
051900,LG생활건강,1221000,1182000,-39000,-3.19,177113,210371524000
051905,LG생활건강우,630000,598000,-32000,-5.08,16972,10347144000
003555,LG우,68000,67500,-500,-0.74,8172,553023500
032640,LG유플러스,14700,14500,-200,-1.36,904954,13227918850
011070,LG이노텍,206000,209500,3500,1.7,298733,62875500000
066570,LG전자,122000,122000,0,0.0,842870,103404573000
066575,LG전자우,64200,64400,200,0.31,19207,1234563600
037560,LG헬로비전,7140,7050,-90,-1.26,360862,2561927130
051910,LG화학,825000,850000,25000,3.03,416963,355240169000
051915,LG화학우,390500,392500,2000,0.51,20880,8242346000
079550,LIG넥스원,46550,47450,900,1.93,120705,5713444100
006260,LS,65500,62800,-2700,-4.12,151992,9667262400
010120,LSELECTRIC,63200,61300,-1900,-3.01,122060,7574165400
000680,LS네트웍스,3355,3305,-50,-1.49,68799,228636425
229640,LS전선아시아,8410,8500,90,1.07,86459,731088630
001120,LX인터내셔널,28400,27200,-1200,-4.23,626284,17232462750
108670,LX하우시스,72000,70100,-1900,-2.64,91574,6472019700
108675,LX하우시스우,34400,33700,-700,-2.03,2750,93442650
383800,LX홀딩스,9090,8940,-150,-1.65,266730,2397144450
38380K,LX홀딩스1우,14000,13900,-100,-0.71,3185,44523900
023150,MH에탄올,12200,11750,-450,-3.69,137846,1652875950
035420,NAVER,414500,413000,-1500,-0.36,494766,205504176664
181710,NHN,73800,73300,-500,-0.68,41770,3083915600
005940,NH투자증권,13250,13100,-150,-1.13,811501,10754000700
005945,NH투자증권우,12700,12600,-100,-0.79,75254,953785550
338100,NH프라임리츠,4950,4955,5,0.1,49143,243145950
034310,NICE,17350,17050,-300,-1.73,78988,1353527450
008260,NI스틸,4040,3940,-100,-2.48,155945,623166805
004250,NPC,6520,6360,-160,-2.45,338070,2192471570
004255,NPC우,3195,3190,-5,-0.16,3798,12126115
010060,OCI,134500,130500,-4000,-2.97,643372,86069342500
178920,PI첨단소재,47300,47500,200,0.42,243495,11551152150
005490,POSCO,308000,301000,-7000,-2.27,462448,140203806000
010950,S-Oil,106500,101500,-5000,-4.69,471481,48312944000
010955,S-Oil우,64000,62700,-1300,-2.03,17320,1084970200
034120,SBS,55500,54300,-1200,-2.16,88202,4846170400
101060,SBS미디어홀딩스,2125,2120,-5,-0.24,376922,798512315
005090,SGC에너지,47700,47800,100,0.21,32651,1567045500
